H (Oe)	Fre(S21)	deg(S21)	Lin(S21)	Fre(S12)	deg(S12)	Lin(S12)
5.500000E+2	3.400000E+9	-2.245615E+1	1.036666E-4	3.400000E+9	1.705687E+2	1.047890E-4
5.500000E+2	3.400000E+9	-2.177139E+1	1.032989E-4	3.400000E+9	1.700367E+2	1.037212E-4
5.450000E+2	3.400000E+9	-2.157457E+1	1.034964E-4	3.400000E+9	1.704409E+2	1.045289E-4
5.400000E+2	3.400000E+9	-2.258706E+1	1.035337E-4	3.400000E+9	1.693875E+2	1.036843E-4
5.350000E+2	3.400000E+9	-2.203652E+1	1.044038E-4	3.400000E+9	1.697872E+2	1.046677E-4
5.300000E+2	3.400000E+9	-2.111667E+1	1.044934E-4	3.400000E+9	1.690258E+2	1.042486E-4
5.250000E+2	3.400000E+9	-2.260279E+1	1.038458E-4	3.400000E+9	1.691313E+2	1.032281E-4
5.200000E+2	3.400000E+9	-2.129679E+1	1.032416E-4	3.400000E+9	1.698925E+2	1.038030E-4
5.150000E+2	3.400000E+9	-2.132244E+1	1.030769E-4	3.400000E+9	1.694347E+2	1.045337E-4
5.100000E+2	3.400000E+9	-2.171297E+1	1.033046E-4	3.400000E+9	1.686788E+2	1.036193E-4
5.050000E+2	3.400000E+9	-2.160141E+1	1.034529E-4	3.400000E+9	1.692695E+2	1.031797E-4
5.000000E+2	3.400000E+9	-2.218837E+1	1.036606E-4	3.400000E+9	1.681503E+2	1.026432E-4
4.950000E+2	3.400000E+9	-2.206972E+1	1.026011E-4	3.400000E+9	1.677208E+2	1.021034E-4
4.900000E+2	3.400000E+9	-2.272957E+1	1.019521E-4	3.400000E+9	1.670179E+2	1.009819E-4
4.850000E+2	3.400000E+9	-2.309983E+1	1.010825E-4	3.400000E+9	1.664282E+2	1.014860E-4
4.800000E+2	3.400000E+9	-2.321341E+1	1.019452E-4	3.400000E+9	1.660909E+2	9.975826E-5
4.750000E+2	3.400000E+9	-2.322728E+1	1.003047E-4	3.400000E+9	1.655138E+2	9.779324E-5
4.700000E+2	3.400000E+9	-2.362756E+1	9.902702E-5	3.400000E+9	1.648485E+2	9.542099E-5
4.650000E+2	3.400000E+9	-2.462128E+1	9.833524E-5	3.400000E+9	1.651744E+2	9.407230E-5
4.600000E+2	3.400000E+9	-2.282225E+1	9.848833E-5	3.400000E+9	1.668955E+2	9.057866E-5
4.550000E+2	3.400000E+9	-2.239170E+1	9.648303E-5	3.400000E+9	1.677679E+2	8.783177E-5
4.500000E+2	3.400000E+9	-2.137129E+1	9.631991E-5	3.400000E+9	1.690657E+2	8.516025E-5
4.450000E+2	3.400000E+9	-1.976553E+1	9.541655E-5	3.400000E+9	1.715170E+2	8.484325E-5
4.400000E+2	3.400000E+9	-1.899347E+1	9.674091E-5	3.400000E+9	1.740060E+2	8.536886E-5
