H (Oe)	Fre(S21)	deg(S21)	Lin(S21)	Fre(S12)	deg(S12)	Lin(S12)
5.500000E+2	3.400000E+9	-2.132389E+1	9.393258E-5	3.400000E+9	1.722941E+2	9.416929E-5
5.500000E+2	3.400000E+9	-2.028382E+1	9.427311E-5	3.400000E+9	1.714123E+2	9.373225E-5
5.450000E+2	3.400000E+9	-2.087212E+1	9.369040E-5	3.400000E+9	1.719637E+2	9.395671E-5
5.400000E+2	3.400000E+9	-2.088221E+1	9.408368E-5	3.400000E+9	1.722695E+2	9.396884E-5
5.350000E+2	3.400000E+9	-2.012710E+1	9.436787E-5	3.400000E+9	1.716913E+2	9.380377E-5
5.300000E+2	3.400000E+9	-2.045989E+1	9.340397E-5	3.400000E+9	1.727042E+2	9.348329E-5
5.250000E+2	3.400000E+9	-2.059078E+1	9.361997E-5	3.400000E+9	1.723465E+2	9.368843E-5
5.200000E+2	3.400000E+9	-2.091145E+1	9.357386E-5	3.400000E+9	1.717700E+2	9.226447E-5
5.150000E+2	3.400000E+9	-2.108833E+1	9.360007E-5	3.400000E+9	1.712341E+2	9.231726E-5
5.100000E+2	3.400000E+9	-2.115640E+1	9.356630E-5	3.400000E+9	1.713811E+2	9.316678E-5
5.050000E+2	3.400000E+9	-2.172808E+1	9.296931E-5	3.400000E+9	1.718620E+2	9.201589E-5
5.000000E+2	3.400000E+9	-2.100379E+1	9.201379E-5	3.400000E+9	1.713289E+2	9.134251E-5
4.950000E+2	3.400000E+9	-2.275477E+1	9.178659E-5	3.400000E+9	1.711144E+2	9.350204E-5
4.900000E+2	3.400000E+9	-2.200256E+1	9.157191E-5	3.400000E+9	1.716622E+2	9.176818E-5
4.850000E+2	3.400000E+9	-2.088525E+1	9.044389E-5	3.400000E+9	1.706880E+2	9.228743E-5
4.800000E+2	3.400000E+9	-2.118863E+1	8.965073E-5	3.400000E+9	1.699823E+2	9.099227E-5
4.750000E+2	3.400000E+9	-2.081791E+1	8.906192E-5	3.400000E+9	1.703477E+2	9.092039E-5
4.700000E+2	3.400000E+9	-2.026270E+1	8.641170E-5	3.400000E+9	1.711039E+2	8.897921E-5
4.650000E+2	3.400000E+9	-1.855139E+1	8.665841E-5	3.400000E+9	1.718319E+2	8.826477E-5
4.600000E+2	3.400000E+9	-1.756068E+1	8.790728E-5	3.400000E+9	1.725081E+2	8.565979E-5
4.550000E+2	3.400000E+9	-1.618078E+1	8.867680E-5	3.400000E+9	1.726475E+2	8.453932E-5
4.500000E+2	3.400000E+9	-1.543272E+1	9.003415E-5	3.400000E+9	1.738201E+2	8.617989E-5
4.450000E+2	3.400000E+9	-1.609068E+1	9.120914E-5	3.400000E+9	1.750186E+2	8.629508E-5
4.400000E+2	3.400000E+9	-1.645112E+1	9.297061E-5	3.400000E+9	1.762109E+2	8.720404E-5
4.350000E+2	3.400000E+9	-1.714515E+1	9.149570E-5	3.400000E+9	1.770675E+2	8.960518E-5
4.300000E+2	3.400000E+9	-1.777407E+1	9.368405E-5	3.400000E+9	1.764788E+2	9.096626E-5
4.250000E+2	3.400000E+9	-1.719674E+1	9.463797E-5	3.400000E+9	1.755069E+2	9.180213E-5
4.200000E+2	3.400000E+9	-1.787247E+1	9.432231E-5	3.400000E+9	1.758964E+2	9.259561E-5
4.150000E+2	3.400000E+9	-1.851653E+1	9.397014E-5	3.400000E+9	1.757006E+2	9.360020E-5
4.100000E+2	3.400000E+9	-1.753044E+1	9.405318E-5	3.400000E+9	1.761589E+2	9.377097E-5
4.050000E+2	3.400000E+9	-1.685016E+1	9.498287E-5	3.400000E+9	1.763369E+2	9.285469E-5
4.000000E+2	3.400000E+9	-1.780522E+1	9.439959E-5	3.400000E+9	1.753636E+2	9.450386E-5
3.950000E+2	3.400000E+9	-1.727584E+1	9.425640E-5	3.400000E+9	1.756292E+2	9.371427E-5
3.900000E+2	3.400000E+9	-1.813375E+1	9.404681E-5	3.400000E+9	1.750585E+2	9.376817E-5
3.850000E+2	3.400000E+9	-1.721134E+1	9.521562E-5	3.400000E+9	1.750949E+2	9.456850E-5
3.800000E+2	3.400000E+9	-1.820394E+1	9.517652E-5	3.400000E+9	1.750766E+2	9.459398E-5
3.750000E+2	3.400000E+9	-1.743060E+1	9.550340E-5	3.400000E+9	1.757841E+2	9.370576E-5
3.700000E+2	3.400000E+9	-1.824934E+1	9.470092E-5	3.400000E+9	1.758232E+2	9.450133E-5
3.650000E+2	3.400000E+9	-1.850603E+1	9.500609E-5	3.400000E+9	1.751858E+2	9.610930E-5
3.600000E+2	3.400000E+9	-1.836068E+1	9.506738E-5	3.400000E+9	1.744316E+2	9.494628E-5
3.550000E+2	3.400000E+9	-1.903604E+1	9.570531E-5	3.400000E+9	1.749515E+2	9.554237E-5
3.500000E+2	3.400000E+9	-1.776238E+1	9.471614E-5	3.400000E+9	1.755724E+2	9.462558E-5
3.500000E+2	3.400000E+9	-1.822763E+1	9.477438E-5	3.400000E+9	1.749749E+2	9.488565E-5
3.500000E+2	3.400000E+9	-1.765135E+1	9.422285E-5	3.400000E+9	1.744254E+2	9.542650E-5
3.500000E+2	3.400000E+9	-1.804147E+1	9.538233E-5	3.400000E+9	1.746803E+2	9.483058E-5
3.500000E+2	3.400000E+9	-1.880909E+1	9.567251E-5	3.400000E+9	1.752280E+2	9.489486E-5
3.500000E+2	3.400000E+9	-1.771516E+1	9.558633E-5	3.400000E+9	1.750497E+2	9.570810E-5
3.500000E+2	3.400000E+9	-1.846515E+1	9.552889E-5	3.400000E+9	1.744574E+2	9.669642E-5
3.500000E+2	3.400000E+9	-1.833898E+1	9.521710E-5	3.400000E+9	1.744172E+2	9.571316E-5
