H (Oe)	Fre(S21)	deg(S21)	Lin(S21)	Fre(S12)	deg(S12)	Lin(S12)
5.500000E+2	3.400000E+9	-5.050079E+1	8.068678E-5	3.400000E+9	1.463563E+2	7.952155E-5
5.500000E+2	3.400000E+9	-5.111717E+1	8.109536E-5	3.400000E+9	1.433432E+2	7.855149E-5
5.450000E+2	3.400000E+9	-5.167958E+1	8.055854E-5	3.400000E+9	1.428204E+2	7.975610E-5
5.400000E+2	3.400000E+9	-5.406089E+1	8.046978E-5	3.400000E+9	1.416294E+2	7.828496E-5
5.350000E+2	3.400000E+9	-5.464183E+1	8.171291E-5	3.400000E+9	1.388138E+2	7.868670E-5
5.300000E+2	3.400000E+9	-5.611930E+1	7.971987E-5	3.400000E+9	1.374177E+2	7.797364E-5
5.250000E+2	3.400000E+9	-5.634410E+1	8.043626E-5	3.400000E+9	1.369985E+2	7.759907E-5
5.200000E+2	3.400000E+9	-5.676517E+1	8.051418E-5	3.400000E+9	1.357790E+2	7.826074E-5
5.150000E+2	3.400000E+9	-5.665871E+1	7.954528E-5	3.400000E+9	1.353632E+2	7.688590E-5
5.100000E+2	3.400000E+9	-5.610513E+1	8.088485E-5	3.400000E+9	1.356090E+2	7.793265E-5
5.050000E+2	3.400000E+9	-5.919910E+1	7.875790E-5	3.400000E+9	1.340165E+2	7.589279E-5
5.000000E+2	3.400000E+9	-6.086923E+1	7.616054E-5	3.400000E+9	1.336560E+2	7.620481E-5
4.950000E+2	3.400000E+9	-6.188429E+1	7.414395E-5	3.400000E+9	1.314666E+2	7.395780E-5
4.900000E+2	3.400000E+9	-6.248159E+1	7.346456E-5	3.400000E+9	1.311380E+2	7.209360E-5
4.850000E+2	3.400000E+9	-6.474473E+1	7.060756E-5	3.400000E+9	1.278983E+2	7.020128E-5
4.800000E+2	3.400000E+9	-6.450768E+1	6.690307E-5	3.400000E+9	1.260620E+2	6.687714E-5
4.750000E+2	3.400000E+9	-6.571182E+1	6.183544E-5	3.400000E+9	1.251895E+2	6.351880E-5
4.700000E+2	3.400000E+9	-6.548376E+1	5.504946E-5	3.400000E+9	1.235862E+2	5.996070E-5
4.650000E+2	3.400000E+9	-6.313451E+1	4.952358E-5	3.400000E+9	1.248389E+2	5.551145E-5
4.600000E+2	3.400000E+9	-5.596078E+1	4.598151E-5	3.400000E+9	1.255016E+2	4.714220E-5
