H (Oe)	Fre(S21)	deg(S21)	Lin(S21)	Fre(S12)	deg(S12)	Lin(S12)
5.500000E+2	3.400000E+9	-2.126246E+1	9.897184E-5	3.400000E+9	1.691018E+2	9.997291E-5
5.500000E+2	3.400000E+9	-2.146842E+1	9.968386E-5	3.400000E+9	1.695693E+2	9.961669E-5
5.450000E+2	3.400000E+9	-2.210598E+1	1.003257E-4	3.400000E+9	1.681459E+2	9.972430E-5
5.400000E+2	3.400000E+9	-2.192453E+1	9.996146E-5	3.400000E+9	1.684905E+2	9.907584E-5
5.350000E+2	3.400000E+9	-2.220547E+1	9.881073E-5	3.400000E+9	1.678275E+2	9.871511E-5
5.300000E+2	3.400000E+9	-2.309619E+1	9.823477E-5	3.400000E+9	1.678605E+2	9.978298E-5
5.250000E+2	3.400000E+9	-2.280405E+1	9.853011E-5	3.400000E+9	1.676911E+2	9.842937E-5
5.200000E+2	3.400000E+9	-2.320918E+1	9.807728E-5	3.400000E+9	1.668264E+2	9.891573E-5
5.150000E+2	3.400000E+9	-2.264348E+1	9.869227E-5	3.400000E+9	1.659925E+2	9.860248E-5
5.100000E+2	3.400000E+9	-2.396997E+1	9.843050E-5	3.400000E+9	1.665966E+2	9.685990E-5
5.050000E+2	3.400000E+9	-2.431399E+1	9.779538E-5	3.400000E+9	1.651839E+2	9.787794E-5
5.000000E+2	3.400000E+9	-2.483946E+1	9.755050E-5	3.400000E+9	1.648404E+2	9.682633E-5
4.950000E+2	3.400000E+9	-2.570540E+1	9.580556E-5	3.400000E+9	1.640825E+2	9.640308E-5
4.900000E+2	3.400000E+9	-2.602069E+1	9.518983E-5	3.400000E+9	1.628471E+2	9.442001E-5
4.850000E+2	3.400000E+9	-2.739925E+1	9.328642E-5	3.400000E+9	1.626421E+2	9.230978E-5
4.800000E+2	3.400000E+9	-2.835860E+1	9.119765E-5	3.400000E+9	1.603861E+2	9.004367E-5
4.750000E+2	3.400000E+9	-2.760910E+1	8.725087E-5	3.400000E+9	1.584189E+2	8.745161E-5
4.700000E+2	3.400000E+9	-2.773677E+1	8.486463E-5	3.400000E+9	1.584439E+2	8.191040E-5
4.650000E+2	3.400000E+9	-2.678600E+1	8.052838E-5	3.400000E+9	1.589794E+2	7.508407E-5
4.600000E+2	3.400000E+9	-2.427681E+1	7.801339E-5	3.400000E+9	1.613531E+2	7.073435E-5
4.550000E+2	3.400000E+9	-2.168639E+1	7.740578E-5	3.400000E+9	1.630602E+2	6.701264E-5
4.500000E+2	3.400000E+9	-1.868681E+1	7.625377E-5	3.400000E+9	1.690041E+2	6.428414E-5
4.450000E+2	3.400000E+9	-1.407825E+1	7.796239E-5	3.400000E+9	1.736020E+2	6.332861E-5
4.400000E+2	3.400000E+9	-1.303753E+1	7.914691E-5	3.400000E+9	1.786814E+2	6.418174E-5
4.350000E+2	3.400000E+9	-1.085259E+1	8.296710E-5	3.400000E+9	-1.768374E+2	6.714824E-5
4.300000E+2	3.400000E+9	-1.003033E+1	8.595735E-5	3.400000E+9	-1.728823E+2	7.132551E-5
4.250000E+2	3.400000E+9	-1.037372E+1	8.952869E-5	3.400000E+9	-1.719516E+2	7.659052E-5
4.200000E+2	3.400000E+9	-1.112172E+1	9.208717E-5	3.400000E+9	-1.713481E+2	8.202411E-5
4.150000E+2	3.400000E+9	-1.142964E+1	9.553775E-5	3.400000E+9	-1.722612E+2	8.590279E-5
4.100000E+2	3.400000E+9	-1.158521E+1	9.582618E-5	3.400000E+9	-1.733651E+2	8.893673E-5
4.050000E+2	3.400000E+9	-1.226843E+1	9.662760E-5	3.400000E+9	-1.734632E+2	9.190757E-5
4.000000E+2	3.400000E+9	-1.225975E+1	9.769051E-5	3.400000E+9	-1.743764E+2	9.370384E-5
3.950000E+2	3.400000E+9	-1.251098E+1	9.741684E-5	3.400000E+9	-1.748988E+2	9.552579E-5
3.900000E+2	3.400000E+9	-1.329865E+1	9.756688E-5	3.400000E+9	-1.750978E+2	9.560520E-5
3.850000E+2	3.400000E+9	-1.418662E+1	9.886990E-5	3.400000E+9	-1.772681E+2	9.729376E-5
3.800000E+2	3.400000E+9	-1.413570E+1	9.985910E-5	3.400000E+9	-1.780468E+2	9.911803E-5
3.750000E+2	3.400000E+9	-1.465400E+1	9.937101E-5	3.400000E+9	-1.781649E+2	9.775696E-5
3.700000E+2	3.400000E+9	-1.395312E+1	1.003432E-4	3.400000E+9	-1.780686E+2	9.815365E-5
3.650000E+2	3.400000E+9	-1.405276E+1	1.004606E-4	3.400000E+9	-1.782686E+2	9.915041E-5
3.600000E+2	3.400000E+9	-1.494178E+1	1.004202E-4	3.400000E+9	-1.788990E+2	1.014866E-4
3.550000E+2	3.400000E+9	-1.475397E+1	1.001253E-4	3.400000E+9	-1.790319E+2	9.883480E-5
3.500000E+2	3.400000E+9	-1.476987E+1	9.863260E-5	3.400000E+9	-1.794632E+2	9.678824E-5
3.500000E+2	3.400000E+9	-1.486704E+1	1.008522E-4	3.400000E+9	-1.788296E+2	1.007490E-4
3.500000E+2	3.400000E+9	-1.545700E+1	1.018348E-4	3.400000E+9	1.797767E+2	1.000375E-4
3.500000E+2	3.400000E+9	-1.650491E+1	1.001324E-4	3.400000E+9	1.794284E+2	1.005061E-4
3.500000E+2	3.400000E+9	-1.544967E+1	9.944393E-5	3.400000E+9	1.794720E+2	9.999777E-5
3.500000E+2	3.400000E+9	-1.566818E+1	1.011670E-4	3.400000E+9	1.791158E+2	1.004933E-4
3.500000E+2	3.400000E+9	-1.637503E+1	1.010626E-4	3.400000E+9	1.791023E+2	1.016752E-4
3.500000E+2	3.400000E+9	-1.609734E+1	1.007010E-4	3.400000E+9	1.796851E+2	9.987630E-5
