H (Oe)	Fre(S21)	deg(S21)	Lin(S21)	Fre(S12)	deg(S12)	Lin(S12)
5.500000E+2	3.400000E+9	-2.908669E+1	8.116879E-5	3.400000E+9	1.630114E+2	8.133223E-5
5.500000E+2	3.400000E+9	-2.898527E+1	8.192763E-5	3.400000E+9	1.623936E+2	8.143000E-5
5.450000E+2	3.400000E+9	-2.975169E+1	8.205188E-5	3.400000E+9	1.617406E+2	8.073830E-5
5.400000E+2	3.400000E+9	-2.936562E+1	8.135043E-5	3.400000E+9	1.621453E+2	8.155129E-5
5.350000E+2	3.400000E+9	-3.007938E+1	8.189252E-5	3.400000E+9	1.615944E+2	8.062082E-5
5.300000E+2	3.400000E+9	-3.004932E+1	8.082263E-5	3.400000E+9	1.619367E+2	8.071152E-5
5.250000E+2	3.400000E+9	-3.145602E+1	8.125282E-5	3.400000E+9	1.610116E+2	8.018453E-5
5.200000E+2	3.400000E+9	-3.193689E+1	7.984895E-5	3.400000E+9	1.599196E+2	7.965124E-5
5.150000E+2	3.400000E+9	-3.229879E+1	8.068451E-5	3.400000E+9	1.589705E+2	7.949074E-5
5.100000E+2	3.400000E+9	-3.383995E+1	7.854029E-5	3.400000E+9	1.583480E+2	7.980322E-5
5.050000E+2	3.400000E+9	-3.503126E+1	7.790093E-5	3.400000E+9	1.578814E+2	7.810801E-5
5.000000E+2	3.400000E+9	-3.559533E+1	7.641872E-5	3.400000E+9	1.573014E+2	7.819344E-5
4.950000E+2	3.400000E+9	-3.677386E+1	7.370099E-5	3.400000E+9	1.561417E+2	7.643227E-5
4.900000E+2	3.400000E+9	-3.609627E+1	7.281378E-5	3.400000E+9	1.572984E+2	7.567458E-5
4.850000E+2	3.400000E+9	-3.690852E+1	6.966006E-5	3.400000E+9	1.557933E+2	7.253930E-5
4.800000E+2	3.400000E+9	-3.674252E+1	6.607009E-5	3.400000E+9	1.546617E+2	7.141887E-5
4.750000E+2	3.400000E+9	-3.399093E+1	6.101490E-5	3.400000E+9	1.546318E+2	6.846541E-5
4.700000E+2	3.400000E+9	-3.193503E+1	5.791815E-5	3.400000E+9	1.539351E+2	6.538145E-5
4.650000E+2	3.400000E+9	-2.786151E+1	5.464862E-5	3.400000E+9	1.537794E+2	6.119810E-5
4.600000E+2	3.400000E+9	-1.994619E+1	5.499111E-5	3.400000E+9	1.548434E+2	5.483940E-5
4.550000E+2	3.400000E+9	-1.610141E+1	6.009152E-5	3.400000E+9	1.610342E+2	5.190524E-5
4.500000E+2	3.400000E+9	-1.373425E+1	6.307570E-5	3.400000E+9	1.669619E+2	4.865300E-5
4.450000E+2	3.400000E+9	-1.191391E+1	6.643871E-5	3.400000E+9	1.731055E+2	5.103358E-5
4.400000E+2	3.400000E+9	-1.190424E+1	6.916268E-5	3.400000E+9	1.797722E+2	5.410778E-5
4.350000E+2	3.400000E+9	-1.219937E+1	7.294165E-5	3.400000E+9	-1.783768E+2	5.840007E-5
4.300000E+2	3.400000E+9	-1.335895E+1	7.493447E-5	3.400000E+9	-1.761923E+2	6.250913E-5
4.250000E+2	3.400000E+9	-1.435941E+1	7.717244E-5	3.400000E+9	-1.770878E+2	6.790577E-5
4.200000E+2	3.400000E+9	-1.509160E+1	7.770510E-5	3.400000E+9	-1.775099E+2	6.921251E-5
4.150000E+2	3.400000E+9	-1.489267E+1	7.955771E-5	3.400000E+9	-1.790798E+2	7.272579E-5
4.100000E+2	3.400000E+9	-1.592959E+1	7.973093E-5	3.400000E+9	-1.796998E+2	7.521112E-5
4.050000E+2	3.400000E+9	-1.708167E+1	8.144426E-5	3.400000E+9	-1.797210E+2	7.704533E-5
4.000000E+2	3.400000E+9	-1.756413E+1	8.136038E-5	3.400000E+9	1.790197E+2	7.765482E-5
3.950000E+2	3.400000E+9	-1.736880E+1	8.197013E-5	3.400000E+9	1.782955E+2	7.952698E-5
3.900000E+2	3.400000E+9	-1.803234E+1	8.237508E-5	3.400000E+9	1.777585E+2	7.901644E-5
3.850000E+2	3.400000E+9	-1.846685E+1	8.186221E-5	3.400000E+9	1.772916E+2	7.984417E-5
3.800000E+2	3.400000E+9	-1.847444E+1	8.224325E-5	3.400000E+9	1.769051E+2	8.092376E-5
3.750000E+2	3.400000E+9	-1.929444E+1	8.420325E-5	3.400000E+9	1.763673E+2	8.149811E-5
3.700000E+2	3.400000E+9	-1.849109E+1	8.147780E-5	3.400000E+9	1.761781E+2	8.154380E-5
3.650000E+2	3.400000E+9	-1.810883E+1	8.817363E-5	3.400000E+9	1.776293E+2	8.807712E-5
3.600000E+2	3.400000E+9	-1.765460E+1	8.890202E-5	3.400000E+9	1.779031E+2	8.925389E-5
3.550000E+2	3.400000E+9	-1.777332E+1	8.965443E-5	3.400000E+9	1.773571E+2	8.829077E-5
3.500000E+2	3.400000E+9	-1.716518E+1	8.939577E-5	3.400000E+9	1.767345E+2	8.730381E-5
3.500000E+2	3.400000E+9	-1.729283E+1	8.910659E-5	3.400000E+9	1.762877E+2	8.850040E-5
3.500000E+2	3.400000E+9	-1.735951E+1	9.051831E-5	3.400000E+9	1.768277E+2	8.900876E-5
3.500000E+2	3.400000E+9	-1.736292E+1	9.049872E-5	3.400000E+9	1.786660E+2	8.836789E-5
3.500000E+2	3.400000E+9	-1.789400E+1	8.911625E-5	3.400000E+9	1.770341E+2	8.845559E-5
3.500000E+2	3.400000E+9	-1.810493E+1	9.107884E-5	3.400000E+9	1.776391E+2	8.816602E-5
3.500000E+2	3.400000E+9	-1.726038E+1	9.031432E-5	3.400000E+9	1.774106E+2	8.763597E-5
3.500000E+2	3.400000E+9	-1.735646E+1	9.039060E-5	3.400000E+9	1.771481E+2	8.907848E-5
