H (Oe)	Fre(S21)	deg(S21)	Lin(S21)	Fre(S12)	deg(S12)	Lin(S12)
5.500000E+2	3.400000E+9	-2.126569E+1	8.804555E-5	3.400000E+9	1.722087E+2	8.900044E-5
5.500000E+2	3.400000E+9	-2.154230E+1	8.905159E-5	3.400000E+9	1.714643E+2	8.859195E-5
5.450000E+2	3.400000E+9	-2.205316E+1	8.820205E-5	3.400000E+9	1.715960E+2	8.675103E-5
5.400000E+2	3.400000E+9	-2.208925E+1	8.878053E-5	3.400000E+9	1.696329E+2	8.773742E-5
5.350000E+2	3.400000E+9	-2.248270E+1	8.849811E-5	3.400000E+9	1.708457E+2	8.789428E-5
5.300000E+2	3.400000E+9	-2.329893E+1	8.852054E-5	3.400000E+9	1.696364E+2	8.833755E-5
5.250000E+2	3.400000E+9	-2.373747E+1	8.730305E-5	3.400000E+9	1.688988E+2	8.843460E-5
5.200000E+2	3.400000E+9	-2.413001E+1	8.743754E-5	3.400000E+9	1.680103E+2	8.769979E-5
5.150000E+2	3.400000E+9	-2.514442E+1	8.801031E-5	3.400000E+9	1.673487E+2	8.894584E-5
5.100000E+2	3.400000E+9	-2.504643E+1	8.505464E-5	3.400000E+9	1.679136E+2	8.622905E-5
5.050000E+2	3.400000E+9	-2.575083E+1	8.484920E-5	3.400000E+9	1.679311E+2	8.692239E-5
5.000000E+2	3.400000E+9	-2.622641E+1	8.307044E-5	3.400000E+9	1.669228E+2	8.544631E-5
4.950000E+2	3.400000E+9	-2.692419E+1	8.181739E-5	3.400000E+9	1.659540E+2	8.549508E-5
4.900000E+2	3.400000E+9	-2.751438E+1	7.942689E-5	3.400000E+9	1.653358E+2	8.446403E-5
4.850000E+2	3.400000E+9	-2.806020E+1	7.639153E-5	3.400000E+9	1.642892E+2	8.266872E-5
4.800000E+2	3.400000E+9	-2.728310E+1	7.223968E-5	3.400000E+9	1.632941E+2	7.874136E-5
4.750000E+2	3.400000E+9	-2.568118E+1	6.896348E-5	3.400000E+9	1.624976E+2	7.785769E-5
4.700000E+2	3.400000E+9	-2.295998E+1	6.572024E-5	3.400000E+9	1.625454E+2	7.250887E-5
4.650000E+2	3.400000E+9	-1.924831E+1	6.388073E-5	3.400000E+9	1.630240E+2	6.787227E-5
4.600000E+2	3.400000E+9	-1.475769E+1	6.551605E-5	3.400000E+9	1.646731E+2	6.526565E-5
4.550000E+2	3.400000E+9	-1.224329E+1	6.682987E-5	3.400000E+9	1.692770E+2	6.083527E-5
4.500000E+2	3.400000E+9	-1.030527E+1	7.054795E-5	3.400000E+9	1.734897E+2	6.013998E-5
4.450000E+2	3.400000E+9	-9.223239E+0	7.541230E-5	3.400000E+9	1.780100E+2	6.081755E-5
4.400000E+2	3.400000E+9	-8.759671E+0	7.640017E-5	3.400000E+9	-1.788707E+2	6.270306E-5
4.350000E+2	3.400000E+9	-9.337026E+0	7.937832E-5	3.400000E+9	-1.748767E+2	6.564669E-5
4.300000E+2	3.400000E+9	-1.014163E+1	7.980588E-5	3.400000E+9	-1.738632E+2	7.050222E-5
4.250000E+2	3.400000E+9	-1.011819E+1	8.232270E-5	3.400000E+9	-1.750691E+2	7.402511E-5
4.200000E+2	3.400000E+9	-1.095061E+1	8.477653E-5	3.400000E+9	-1.748231E+2	7.766004E-5
4.150000E+2	3.400000E+9	-1.036434E+1	8.479535E-5	3.400000E+9	-1.750872E+2	8.007286E-5
4.100000E+2	3.400000E+9	-1.125168E+1	8.532909E-5	3.400000E+9	-1.753807E+2	8.174380E-5
4.050000E+2	3.400000E+9	-1.188511E+1	8.702850E-5	3.400000E+9	-1.762399E+2	8.361578E-5
4.000000E+2	3.400000E+9	-1.143191E+1	8.600116E-5	3.400000E+9	-1.770206E+2	8.268694E-5
3.950000E+2	3.400000E+9	-1.273444E+1	8.688791E-5	3.400000E+9	-1.763490E+2	8.472923E-5
3.900000E+2	3.400000E+9	-1.306758E+1	8.830690E-5	3.400000E+9	-1.777585E+2	8.424747E-5
3.850000E+2	3.400000E+9	-1.326045E+1	8.892337E-5	3.400000E+9	-1.783708E+2	8.657789E-5
3.800000E+2	3.400000E+9	-1.360973E+1	8.775546E-5	3.400000E+9	-1.789318E+2	8.692392E-5
3.750000E+2	3.400000E+9	-1.316996E+1	8.836669E-5	3.400000E+9	-1.797237E+2	8.519103E-5
3.700000E+2	3.400000E+9	-1.367473E+1	8.805993E-5	3.400000E+9	-1.791250E+2	8.842874E-5
3.650000E+2	3.400000E+9	-1.334653E+1	8.860755E-5	3.400000E+9	-1.791736E+2	8.623496E-5
3.600000E+2	3.400000E+9	-1.424143E+1	8.871610E-5	3.400000E+9	1.795925E+2	8.724183E-5
3.550000E+2	3.400000E+9	-1.395478E+1	8.835614E-5	3.400000E+9	-1.798235E+2	8.713298E-5
3.500000E+2	3.400000E+9	-1.450524E+1	8.893819E-5	3.400000E+9	1.796122E+2	8.726298E-5
3.500000E+2	3.400000E+9	-1.380944E+1	8.916978E-5	3.400000E+9	-1.796227E+2	8.808390E-5
3.500000E+2	3.400000E+9	-1.385018E+1	9.070415E-5	3.400000E+9	-1.799335E+2	8.843585E-5
3.500000E+2	3.400000E+9	-1.416116E+1	9.027129E-5	3.400000E+9	1.792729E+2	8.955325E-5
3.500000E+2	3.400000E+9	-1.402394E+1	8.885455E-5	3.400000E+9	-1.798783E+2	8.748884E-5
3.500000E+2	3.400000E+9	-1.432631E+1	8.856542E-5	3.400000E+9	1.788700E+2	8.804944E-5
3.500000E+2	3.400000E+9	-1.432779E+1	8.905105E-5	3.400000E+9	1.793126E+2	8.854318E-5
3.500000E+2	3.400000E+9	-1.530999E+1	8.902656E-5	3.400000E+9	1.791671E+2	8.848137E-5
