H (Oe)	Fre(S21)	deg(S21)	Lin(S21)	Fre(S12)	deg(S12)	Lin(S12)
5.500000E+2	3.400000E+9	-3.983954E+1	7.819341E-5	3.400000E+9	1.526727E+2	7.601323E-5
5.500000E+2	3.400000E+9	-3.931941E+1	7.818333E-5	3.400000E+9	1.514400E+2	7.640991E-5
5.450000E+2	3.400000E+9	-3.900563E+1	7.780312E-5	3.400000E+9	1.524198E+2	7.673667E-5
5.400000E+2	3.400000E+9	-3.932894E+1	7.791602E-5	3.400000E+9	1.529473E+2	7.467780E-5
5.350000E+2	3.400000E+9	-3.984895E+1	7.778995E-5	3.400000E+9	1.516733E+2	7.613675E-5
5.300000E+2	3.400000E+9	-4.157593E+1	7.731362E-5	3.400000E+9	1.516074E+2	7.662128E-5
5.250000E+2	3.400000E+9	-4.228691E+1	7.800992E-5	3.400000E+9	1.504041E+2	7.328027E-5
5.200000E+2	3.400000E+9	-4.216541E+1	7.724389E-5	3.400000E+9	1.499224E+2	7.691357E-5
5.150000E+2	3.400000E+9	-4.175746E+1	7.606532E-5	3.400000E+9	1.492812E+2	7.374951E-5
5.100000E+2	3.400000E+9	-4.254510E+1	7.562408E-5	3.400000E+9	1.477680E+2	7.378541E-5
5.050000E+2	3.400000E+9	-4.523755E+1	7.306809E-5	3.400000E+9	1.463308E+2	7.227031E-5
5.000000E+2	3.400000E+9	-4.679902E+1	7.319186E-5	3.400000E+9	1.462242E+2	7.198687E-5
4.950000E+2	3.400000E+9	-4.650978E+1	7.171957E-5	3.400000E+9	1.449063E+2	7.128788E-5
4.900000E+2	3.400000E+9	-4.877551E+1	6.969523E-5	3.400000E+9	1.435001E+2	6.900091E-5
4.850000E+2	3.400000E+9	-4.984031E+1	6.392555E-5	3.400000E+9	1.420063E+2	6.557159E-5
4.800000E+2	3.400000E+9	-5.147356E+1	6.104506E-5	3.400000E+9	1.397440E+2	6.308806E-5
4.750000E+2	3.400000E+9	-5.150473E+1	5.628731E-5	3.400000E+9	1.381858E+2	5.873825E-5
4.700000E+2	3.400000E+9	-5.008118E+1	5.110530E-5	3.400000E+9	1.361142E+2	5.481832E-5
4.650000E+2	3.400000E+9	-4.524039E+1	4.487546E-5	3.400000E+9	1.369394E+2	5.057218E-5
4.600000E+2	3.400000E+9	-3.859019E+1	4.076817E-5	3.400000E+9	1.399502E+2	4.434533E-5
4.550000E+2	3.400000E+9	-3.020143E+1	4.044379E-5	3.400000E+9	1.426672E+2	3.940118E-5
4.500000E+2	3.400000E+9	-2.081069E+1	4.334826E-5	3.400000E+9	1.509437E+2	3.414881E-5
4.450000E+2	3.400000E+9	-1.496783E+1	4.803838E-5	3.400000E+9	1.635899E+2	3.207421E-5
4.400000E+2	3.400000E+9	-1.124155E+1	5.306919E-5	3.400000E+9	1.732115E+2	3.449202E-5
4.350000E+2	3.400000E+9	-1.112106E+1	5.718502E-5	3.400000E+9	-1.763386E+2	3.783745E-5
4.300000E+2	3.400000E+9	-1.125089E+1	6.095960E-5	3.400000E+9	-1.728646E+2	4.385881E-5
4.250000E+2	3.400000E+9	-1.300828E+1	6.379979E-5	3.400000E+9	-1.726044E+2	4.826919E-5
4.200000E+2	3.400000E+9	-1.321539E+1	6.618104E-5	3.400000E+9	-1.729603E+2	5.294324E-5
4.150000E+2	3.400000E+9	-1.406496E+1	6.934257E-5	3.400000E+9	-1.734073E+2	5.580941E-5
4.100000E+2	3.400000E+9	-1.465587E+1	6.997860E-5	3.400000E+9	-1.726581E+2	6.147107E-5
4.050000E+2	3.400000E+9	-1.602693E+1	7.155100E-5	3.400000E+9	-1.757624E+2	6.369110E-5
4.000000E+2	3.400000E+9	-1.685356E+1	7.282177E-5	3.400000E+9	-1.775715E+2	6.450437E-5
3.950000E+2	3.400000E+9	-1.770509E+1	7.359615E-5	3.400000E+9	-1.772983E+2	6.606866E-5
3.900000E+2	3.400000E+9	-1.801916E+1	7.436443E-5	3.400000E+9	1.799933E+2	6.926662E-5
