H (Oe)	Fre(S21)	deg(S21)	Lin(S21)	Fre(S12)	deg(S12)	Lin(S12)
5.500000E+2	3.400000E+9	-2.374333E+1	9.719065E-5	3.400000E+9	1.675852E+2	9.732012E-5
5.500000E+2	3.400000E+9	-2.379711E+1	9.761175E-5	3.400000E+9	1.674062E+2	9.745969E-5
5.450000E+2	3.400000E+9	-2.366526E+1	9.515652E-5	3.400000E+9	1.662590E+2	9.689337E-5
5.400000E+2	3.400000E+9	-2.364936E+1	9.827987E-5	3.400000E+9	1.667837E+2	9.708319E-5
5.350000E+2	3.400000E+9	-2.386775E+1	9.704345E-5	3.400000E+9	1.670169E+2	9.699917E-5
5.300000E+2	3.400000E+9	-2.401030E+1	9.815350E-5	3.400000E+9	1.662555E+2	9.695711E-5
5.250000E+2	3.400000E+9	-2.505374E+1	9.594552E-5	3.400000E+9	1.655250E+2	9.723671E-5
5.200000E+2	3.400000E+9	-2.533672E+1	9.703985E-5	3.400000E+9	1.652589E+2	9.600651E-5
5.150000E+2	3.400000E+9	-2.485401E+1	9.515676E-5	3.400000E+9	1.649822E+2	9.644852E-5
5.100000E+2	3.400000E+9	-2.583643E+1	9.546182E-5	3.400000E+9	1.632824E+2	9.550323E-5
5.050000E+2	3.400000E+9	-2.595219E+1	9.427936E-5	3.400000E+9	1.638450E+2	9.521084E-5
5.000000E+2	3.400000E+9	-2.700924E+1	9.518915E-5	3.400000E+9	1.628474E+2	9.367153E-5
4.950000E+2	3.400000E+9	-2.865484E+1	9.315274E-5	3.400000E+9	1.600118E+2	9.228736E-5
4.900000E+2	3.400000E+9	-2.955296E+1	9.126291E-5	3.400000E+9	1.589691E+2	9.135898E-5
4.850000E+2	3.400000E+9	-3.045659E+1	8.769248E-5	3.400000E+9	1.580274E+2	8.806573E-5
4.800000E+2	3.400000E+9	-3.092665E+1	8.506056E-5	3.400000E+9	1.565987E+2	8.574020E-5
4.750000E+2	3.400000E+9	-3.186749E+1	7.960815E-5	3.400000E+9	1.554023E+2	8.108961E-5
4.700000E+2	3.400000E+9	-2.970410E+1	7.471352E-5	3.400000E+9	1.531147E+2	7.403668E-5
4.650000E+2	3.400000E+9	-2.748336E+1	7.166280E-5	3.400000E+9	1.547613E+2	6.880017E-5
4.600000E+2	3.400000E+9	-2.529132E+1	6.972451E-5	3.400000E+9	1.573323E+2	6.408772E-5
4.550000E+2	3.400000E+9	-2.130429E+1	6.716138E-5	3.400000E+9	1.610490E+2	5.875023E-5
4.500000E+2	3.400000E+9	-1.579835E+1	6.837917E-5	3.400000E+9	1.679954E+2	5.521334E-5
4.450000E+2	3.400000E+9	-1.238500E+1	7.023872E-5	3.400000E+9	1.718906E+2	5.395414E-5
4.400000E+2	3.400000E+9	-1.018625E+1	7.211055E-5	3.400000E+9	1.779672E+2	5.610482E-5
4.350000E+2	3.400000E+9	-8.778705E+0	7.611781E-5	3.400000E+9	-1.749926E+2	5.798948E-5
4.300000E+2	3.400000E+9	-6.709224E+0	8.006184E-5	3.400000E+9	-1.691387E+2	6.295209E-5
4.250000E+2	3.400000E+9	-6.324633E+0	8.463137E-5	3.400000E+9	-1.667147E+2	6.838155E-5
4.200000E+2	3.400000E+9	-7.658825E+0	8.756323E-5	3.400000E+9	-1.667488E+2	7.540431E-5
4.150000E+2	3.400000E+9	-8.055396E+0	9.075173E-5	3.400000E+9	-1.674355E+2	7.944480E-5
4.100000E+2	3.400000E+9	-9.453884E+0	9.275536E-5	3.400000E+9	-1.683248E+2	8.309731E-5
4.050000E+2	3.400000E+9	-9.880766E+0	9.325753E-5	3.400000E+9	-1.702755E+2	8.673831E-5
4.000000E+2	3.400000E+9	-1.035256E+1	9.545413E-5	3.400000E+9	-1.712641E+2	8.877712E-5
3.950000E+2	3.400000E+9	-1.155455E+1	9.598574E-5	3.400000E+9	-1.718716E+2	9.031950E-5
3.900000E+2	3.400000E+9	-1.175265E+1	9.550821E-5	3.400000E+9	-1.736957E+2	9.207811E-5
3.850000E+2	3.400000E+9	-1.260028E+1	9.688044E-5	3.400000E+9	-1.745134E+2	9.435073E-5
3.800000E+2	3.400000E+9	-1.276265E+1	9.684519E-5	3.400000E+9	-1.752203E+2	9.450582E-5
3.750000E+2	3.400000E+9	-1.273803E+1	9.789684E-5	3.400000E+9	-1.758327E+2	9.404369E-5
3.700000E+2	3.400000E+9	-1.287426E+1	9.720575E-5	3.400000E+9	-1.759244E+2	9.692679E-5
3.650000E+2	3.400000E+9	-1.295407E+1	9.779358E-5	3.400000E+9	-1.760359E+2	9.665368E-5
3.600000E+2	3.400000E+9	-1.283316E+1	9.830908E-5	3.400000E+9	-1.769086E+2	9.748501E-5
3.550000E+2	3.400000E+9	-1.358689E+1	9.820064E-5	3.400000E+9	-1.768528E+2	9.799168E-5
3.500000E+2	3.400000E+9	-1.444265E+1	9.948346E-5	3.400000E+9	-1.785897E+2	9.752055E-5
3.500000E+2	3.400000E+9	-1.378034E+1	9.797344E-5	3.400000E+9	-1.777415E+2	9.774929E-5
3.500000E+2	3.400000E+9	-1.452108E+1	9.850260E-5	3.400000E+9	-1.783414E+2	9.734110E-5
3.500000E+2	3.400000E+9	-1.428357E+1	9.901977E-5	3.400000E+9	-1.775833E+2	9.800866E-5
3.500000E+2	3.400000E+9	-1.429130E+1	9.934527E-5	3.400000E+9	-1.788943E+2	9.721875E-5
