H (Oe)	Fre(S21)	deg(S21)	Lin(S21)	Fre(S12)	deg(S12)	Lin(S12)
5.500000E+2	3.400000E+9	-1.878469E+1	8.754300E-5	3.400000E+9	1.742264E+2	8.702630E-5
5.500000E+2	3.400000E+9	-1.917286E+1	8.812104E-5	3.400000E+9	1.736727E+2	8.795661E-5
5.450000E+2	3.400000E+9	-1.962564E+1	8.587411E-5	3.400000E+9	1.727658E+2	8.711073E-5
5.400000E+2	3.400000E+9	-1.975142E+1	8.680775E-5	3.400000E+9	1.722807E+2	8.761253E-5
5.350000E+2	3.400000E+9	-1.988824E+1	8.788634E-5	3.400000E+9	1.727264E+2	8.709184E-5
5.300000E+2	3.400000E+9	-1.919212E+1	8.840377E-5	3.400000E+9	1.727683E+2	8.772081E-5
5.250000E+2	3.400000E+9	-1.926761E+1	8.706196E-5	3.400000E+9	1.736335E+2	8.712187E-5
5.200000E+2	3.400000E+9	-1.938416E+1	8.615640E-5	3.400000E+9	1.730177E+2	8.523410E-5
5.150000E+2	3.400000E+9	-2.025519E+1	8.631455E-5	3.400000E+9	1.727922E+2	8.721960E-5
5.100000E+2	3.400000E+9	-2.080426E+1	8.689923E-5	3.400000E+9	1.720406E+2	8.635606E-5
5.050000E+2	3.400000E+9	-2.120890E+1	8.631463E-5	3.400000E+9	1.714581E+2	8.594880E-5
5.000000E+2	3.400000E+9	-1.996291E+1	8.656844E-5	3.400000E+9	1.721603E+2	8.644308E-5
4.950000E+2	3.400000E+9	-2.142268E+1	8.529371E-5	3.400000E+9	1.721922E+2	8.650896E-5
4.900000E+2	3.400000E+9	-2.187551E+1	8.453598E-5	3.400000E+9	1.710863E+2	8.583884E-5
4.850000E+2	3.400000E+9	-2.166321E+1	8.482674E-5	3.400000E+9	1.719866E+2	8.572162E-5
4.800000E+2	3.400000E+9	-2.129452E+1	8.194808E-5	3.400000E+9	1.697502E+2	8.583229E-5
4.750000E+2	3.400000E+9	-2.078500E+1	8.026991E-5	3.400000E+9	1.699620E+2	8.294154E-5
4.700000E+2	3.400000E+9	-2.007580E+1	7.915578E-5	3.400000E+9	1.706347E+2	8.275113E-5
4.650000E+2	3.400000E+9	-1.797113E+1	7.994605E-5	3.400000E+9	1.714178E+2	8.130237E-5
4.600000E+2	3.400000E+9	-1.707054E+1	8.011104E-5	3.400000E+9	1.722584E+2	7.987255E-5
4.550000E+2	3.400000E+9	-1.658867E+1	8.077629E-5	3.400000E+9	1.723848E+2	7.735908E-5
4.500000E+2	3.400000E+9	-1.627585E+1	8.098041E-5	3.400000E+9	1.734719E+2	7.698892E-5
4.450000E+2	3.400000E+9	-1.586124E+1	8.233538E-5	3.400000E+9	1.756405E+2	7.675932E-5
4.400000E+2	3.400000E+9	-1.533270E+1	8.214816E-5	3.400000E+9	1.764901E+2	7.959207E-5
4.350000E+2	3.400000E+9	-1.549963E+1	8.493738E-5	3.400000E+9	1.776381E+2	7.882946E-5
4.300000E+2	3.400000E+9	-1.630204E+1	8.343872E-5	3.400000E+9	1.783932E+2	8.132016E-5
4.250000E+2	3.400000E+9	-1.543771E+1	8.410719E-5	3.400000E+9	1.788551E+2	8.041651E-5
4.200000E+2	3.400000E+9	-1.549802E+1	8.607019E-5	3.400000E+9	1.780202E+2	8.277111E-5
4.150000E+2	3.400000E+9	-1.658337E+1	8.535984E-5	3.400000E+9	1.775038E+2	8.388304E-5
4.100000E+2	3.400000E+9	-1.594935E+1	8.603241E-5	3.400000E+9	1.779074E+2	8.356650E-5
4.050000E+2	3.400000E+9	-1.564134E+1	8.651801E-5	3.400000E+9	1.777371E+2	8.501419E-5
4.000000E+2	3.400000E+9	-1.545179E+1	8.651461E-5	3.400000E+9	1.771901E+2	8.523659E-5
3.950000E+2	3.400000E+9	-1.563182E+1	8.600306E-5	3.400000E+9	1.785497E+2	8.510258E-5
3.900000E+2	3.400000E+9	-1.595276E+1	8.633565E-5	3.400000E+9	1.777393E+2	8.593003E-5
3.850000E+2	3.400000E+9	-1.657100E+1	8.548683E-5	3.400000E+9	1.760000E+2	8.562268E-5
3.800000E+2	3.400000E+9	-1.640271E+1	8.696478E-5	3.400000E+9	1.771865E+2	8.657989E-5
3.750000E+2	3.400000E+9	-1.579487E+1	8.656095E-5	3.400000E+9	1.775044E+2	8.557164E-5
3.700000E+2	3.400000E+9	-1.693530E+1	8.692472E-5	3.400000E+9	1.768426E+2	8.623606E-5
3.650000E+2	3.400000E+9	-1.724821E+1	8.762194E-5	3.400000E+9	1.762455E+2	8.628714E-5
3.600000E+2	3.400000E+9	-1.652524E+1	8.761848E-5	3.400000E+9	1.760587E+2	8.652025E-5
3.550000E+2	3.400000E+9	-1.720377E+1	8.740090E-5	3.400000E+9	1.765674E+2	8.622462E-5
3.500000E+2	3.400000E+9	-1.743804E+1	8.792029E-5	3.400000E+9	1.762575E+2	8.703898E-5
3.500000E+2	3.400000E+9	-1.742392E+1	8.680112E-5	3.400000E+9	1.751852E+2	8.676291E-5
3.500000E+2	3.400000E+9	-1.748107E+1	8.696604E-5	3.400000E+9	1.757008E+2	8.511276E-5
3.500000E+2	3.400000E+9	-1.657894E+1	8.779895E-5	3.400000E+9	1.757275E+2	8.664671E-5
3.500000E+2	3.400000E+9	-1.680788E+1	8.643782E-5	3.400000E+9	1.762845E+2	8.625397E-5
3.500000E+2	3.400000E+9	-1.740405E+1	8.659225E-5	3.400000E+9	1.766794E+2	8.712337E-5
3.500000E+2	3.400000E+9	-1.676393E+1	8.764162E-5	3.400000E+9	1.755399E+2	8.704749E-5
3.500000E+2	3.400000E+9	-1.713782E+1	8.870781E-5	3.400000E+9	1.754625E+2	8.639113E-5
