H (Oe)	Fre(S21)	deg(S21)	Lin(S21)	Fre(S12)	deg(S12)	Lin(S12)
5.500000E+2	3.400000E+9	-1.780924E+1	9.502652E-5	3.400000E+9	1.739712E+2	9.603372E-5
5.500000E+2	3.400000E+9	-1.788049E+1	9.601546E-5	3.400000E+9	1.744077E+2	9.656802E-5
5.450000E+2	3.400000E+9	-1.789777E+1	9.578610E-5	3.400000E+9	1.747716E+2	9.569463E-5
5.400000E+2	3.400000E+9	-1.811769E+1	9.550461E-5	3.400000E+9	1.748549E+2	9.531518E-5
5.350000E+2	3.400000E+9	-1.771326E+1	9.659222E-5	3.400000E+9	1.738132E+2	9.598383E-5
5.300000E+2	3.400000E+9	-1.830552E+1	9.657405E-5	3.400000E+9	1.746636E+2	9.634779E-5
5.250000E+2	3.400000E+9	-1.753457E+1	9.727974E-5	3.400000E+9	1.754021E+2	9.586778E-5
5.200000E+2	3.400000E+9	-1.840077E+1	9.620516E-5	3.400000E+9	1.734147E+2	9.669113E-5
5.150000E+2	3.400000E+9	-1.860059E+1	9.579215E-5	3.400000E+9	1.739305E+2	9.668025E-5
5.100000E+2	3.400000E+9	-1.853186E+1	9.740195E-5	3.400000E+9	1.741285E+2	9.579903E-5
5.050000E+2	3.400000E+9	-1.867319E+1	9.473956E-5	3.400000E+9	1.745433E+2	9.612997E-5
5.000000E+2	3.400000E+9	-1.867027E+1	9.718457E-5	3.400000E+9	1.741149E+2	9.578236E-5
4.950000E+2	3.400000E+9	-1.903284E+1	9.644464E-5	3.400000E+9	1.741517E+2	9.566807E-5
4.900000E+2	3.400000E+9	-1.900476E+1	9.661734E-5	3.400000E+9	1.741532E+2	9.646481E-5
4.850000E+2	3.400000E+9	-1.792901E+1	9.619870E-5	3.400000E+9	1.737088E+2	9.511416E-5
4.800000E+2	3.400000E+9	-1.857641E+1	9.678864E-5	3.400000E+9	1.736087E+2	9.706333E-5
4.750000E+2	3.400000E+9	-1.890954E+1	9.687706E-5	3.400000E+9	1.740014E+2	9.703357E-5
4.700000E+2	3.400000E+9	-1.851824E+1	9.681941E-5	3.400000E+9	1.744367E+2	9.651151E-5
4.650000E+2	3.400000E+9	-1.813801E+1	9.635401E-5	3.400000E+9	1.749199E+2	9.654598E-5
4.600000E+2	3.400000E+9	-1.808057E+1	9.691530E-5	3.400000E+9	1.743181E+2	9.557467E-5
4.550000E+2	3.400000E+9	-1.814745E+1	9.554702E-5	3.400000E+9	1.750878E+2	9.558725E-5
