H (Oe)	Fre(S21)	deg(S21)	Lin(S21)	Fre(S12)	deg(S12)	Lin(S12)
5.500000E+2	3.400000E+9	-2.282609E+1	1.105160E-4	3.400000E+9	1.692162E+2	1.123837E-4
5.500000E+2	3.400000E+9	-2.302533E+1	1.117911E-4	3.400000E+9	1.701975E+2	1.125581E-4
5.450000E+2	3.400000E+9	-2.405178E+1	1.109366E-4	3.400000E+9	1.699076E+2	1.130637E-4
5.400000E+2	3.400000E+9	-2.322792E+1	1.120245E-4	3.400000E+9	1.689803E+2	1.135508E-4
5.350000E+2	3.400000E+9	-2.349445E+1	1.106122E-4	3.400000E+9	1.696008E+2	1.116368E-4
5.300000E+2	3.400000E+9	-2.371520E+1	1.106994E-4	3.400000E+9	1.695705E+2	1.106230E-4
5.250000E+2	3.400000E+9	-2.367906E+1	1.120643E-4	3.400000E+9	1.697384E+2	1.110753E-4
5.200000E+2	3.400000E+9	-2.348097E+1	1.112609E-4	3.400000E+9	1.692790E+2	1.135618E-4
5.150000E+2	3.400000E+9	-2.361192E+1	1.112063E-4	3.400000E+9	1.689021E+2	1.111625E-4
5.100000E+2	3.400000E+9	-2.359052E+1	1.120380E-4	3.400000E+9	1.691050E+2	1.131325E-4
5.050000E+2	3.400000E+9	-2.323316E+1	1.112427E-4	3.400000E+9	1.690474E+2	1.121498E-4
5.000000E+2	3.400000E+9	-2.407440E+1	1.119052E-4	3.400000E+9	1.689184E+2	1.119412E-4
4.950000E+2	3.400000E+9	-2.408799E+1	1.120266E-4	3.400000E+9	1.693985E+2	1.138571E-4
4.900000E+2	3.400000E+9	-2.423885E+1	1.107519E-4	3.400000E+9	1.695058E+2	1.125614E-4
4.850000E+2	3.400000E+9	-2.496575E+1	1.126355E-4	3.400000E+9	1.682959E+2	1.117518E-4
4.800000E+2	3.400000E+9	-2.465470E+1	1.110928E-4	3.400000E+9	1.680803E+2	1.138503E-4
4.750000E+2	3.400000E+9	-2.389009E+1	1.121778E-4	3.400000E+9	1.689300E+2	1.129891E-4
4.700000E+2	3.400000E+9	-2.393059E+1	1.108887E-4	3.400000E+9	1.689724E+2	1.127674E-4
4.650000E+2	3.400000E+9	-2.394347E+1	1.122976E-4	3.400000E+9	1.697963E+2	1.130261E-4
4.600000E+2	3.400000E+9	-2.444882E+1	1.119259E-4	3.400000E+9	1.692730E+2	1.124393E-4
4.550000E+2	3.400000E+9	-2.428444E+1	1.110786E-4	3.400000E+9	1.691224E+2	1.125141E-4
4.500000E+2	3.400000E+9	-2.400217E+1	1.100260E-4	3.400000E+9	1.693803E+2	1.129316E-4
4.450000E+2	3.400000E+9	-2.444282E+1	1.116394E-4	3.400000E+9	1.687176E+2	1.127196E-4
4.400000E+2	3.400000E+9	-2.456691E+1	1.116057E-4	3.400000E+9	1.690135E+2	1.144663E-4
4.350000E+2	3.400000E+9	-2.511521E+1	1.105041E-4	3.400000E+9	1.681170E+2	1.135563E-4
4.300000E+2	3.400000E+9	-2.368569E+1	1.116545E-4	3.400000E+9	1.684788E+2	1.135046E-4
4.250000E+2	3.400000E+9	-2.414209E+1	1.109289E-4	3.400000E+9	1.686041E+2	1.140390E-4
