H (Oe)	Fre(S21)	deg(S21)	Lin(S21)	Fre(S12)	deg(S12)	Lin(S12)
5.500000E+2	3.400000E+9	-2.587179E+1	9.357568E-5	3.400000E+9	1.653981E+2	9.277595E-5
5.500000E+2	3.400000E+9	-2.503595E+1	9.388448E-5	3.400000E+9	1.658212E+2	9.293251E-5
5.450000E+2	3.400000E+9	-2.585110E+1	9.263645E-5	3.400000E+9	1.651907E+2	9.346685E-5
5.400000E+2	3.400000E+9	-2.633215E+1	9.366903E-5	3.400000E+9	1.642024E+2	9.370833E-5
5.350000E+2	3.400000E+9	-2.693859E+1	9.228223E-5	3.400000E+9	1.637402E+2	9.401690E-5
5.300000E+2	3.400000E+9	-2.597133E+1	9.215038E-5	3.400000E+9	1.636020E+2	9.356628E-5
5.250000E+2	3.400000E+9	-2.714640E+1	9.169884E-5	3.400000E+9	1.638643E+2	9.375131E-5
5.200000E+2	3.400000E+9	-2.841587E+1	9.181727E-5	3.400000E+9	1.622846E+2	9.097292E-5
5.150000E+2	3.400000E+9	-2.806025E+1	9.117213E-5	3.400000E+9	1.621437E+2	9.044796E-5
5.100000E+2	3.400000E+9	-2.889201E+1	9.052393E-5	3.400000E+9	1.605206E+2	9.078190E-5
5.050000E+2	3.400000E+9	-3.031702E+1	8.935336E-5	3.400000E+9	1.597230E+2	8.954590E-5
5.000000E+2	3.400000E+9	-3.200686E+1	8.990951E-5	3.400000E+9	1.577807E+2	8.876222E-5
4.950000E+2	3.400000E+9	-3.322341E+1	8.616569E-5	3.400000E+9	1.566453E+2	8.850320E-5
4.900000E+2	3.400000E+9	-3.504872E+1	8.362686E-5	3.400000E+9	1.545969E+2	8.571039E-5
4.850000E+2	3.400000E+9	-3.792948E+1	8.007378E-5	3.400000E+9	1.526161E+2	8.225532E-5
4.800000E+2	3.400000E+9	-3.720685E+1	7.465679E-5	3.400000E+9	1.508829E+2	7.887270E-5
4.750000E+2	3.400000E+9	-3.683254E+1	6.689344E-5	3.400000E+9	1.484739E+2	7.156805E-5
4.700000E+2	3.400000E+9	-3.384817E+1	6.060560E-5	3.400000E+9	1.472074E+2	6.521527E-5
4.650000E+2	3.400000E+9	-3.002610E+1	5.706737E-5	3.400000E+9	1.490387E+2	5.864213E-5
4.600000E+2	3.400000E+9	-2.338862E+1	5.526839E-5	3.400000E+9	1.531938E+2	5.213174E-5
4.550000E+2	3.400000E+9	-1.748489E+1	5.378557E-5	3.400000E+9	1.586899E+2	4.649812E-5
4.500000E+2	3.400000E+9	-1.115799E+1	5.605673E-5	3.400000E+9	1.662333E+2	4.429782E-5
4.450000E+2	3.400000E+9	-6.329506E+0	5.886253E-5	3.400000E+9	1.751355E+2	4.336692E-5
4.400000E+2	3.400000E+9	-2.764785E+0	6.351115E-5	3.400000E+9	-1.763596E+2	4.458551E-5
4.350000E+2	3.400000E+9	-1.334909E+0	6.896899E-5	3.400000E+9	-1.672283E+2	4.887040E-5
4.300000E+2	3.400000E+9	-1.571503E+0	7.288031E-5	3.400000E+9	-1.648025E+2	5.448110E-5
4.250000E+2	3.400000E+9	-2.453612E+0	7.843372E-5	3.400000E+9	-1.602815E+2	5.987816E-5
4.200000E+2	3.400000E+9	-3.522861E+0	7.972282E-5	3.400000E+9	-1.623090E+2	6.631311E-5
4.150000E+2	3.400000E+9	-4.549377E+0	8.419327E-5	3.400000E+9	-1.634934E+2	7.215045E-5
4.100000E+2	3.400000E+9	-4.895232E+0	8.557188E-5	3.400000E+9	-1.645316E+2	7.575550E-5
4.050000E+2	3.400000E+9	-5.979120E+0	8.557172E-5	3.400000E+9	-1.657731E+2	8.014307E-5
4.000000E+2	3.400000E+9	-7.409756E+0	8.865689E-5	3.400000E+9	-1.670111E+2	8.292685E-5
3.950000E+2	3.400000E+9	-8.134178E+0	9.005931E-5	3.400000E+9	-1.689391E+2	8.493035E-5
3.900000E+2	3.400000E+9	-9.358514E+0	9.033847E-5	3.400000E+9	-1.706497E+2	8.689318E-5
3.850000E+2	3.400000E+9	-9.097366E+0	9.025194E-5	3.400000E+9	-1.713942E+2	8.780557E-5
3.800000E+2	3.400000E+9	-1.002314E+1	9.067914E-5	3.400000E+9	-1.727156E+2	8.804869E-5
3.750000E+2	3.400000E+9	-1.009265E+1	9.208697E-5	3.400000E+9	-1.727162E+2	8.913093E-5
3.700000E+2	3.400000E+9	-9.491984E+0	9.181254E-5	3.400000E+9	-1.729747E+2	9.105320E-5
3.650000E+2	3.400000E+9	-1.053248E+1	9.237466E-5	3.400000E+9	-1.740646E+2	9.030087E-5
3.600000E+2	3.400000E+9	-1.119171E+1	9.289815E-5	3.400000E+9	-1.755295E+2	9.227976E-5
3.550000E+2	3.400000E+9	-1.187183E+1	9.315772E-5	3.400000E+9	-1.747944E+2	9.074642E-5
3.500000E+2	3.400000E+9	-1.260782E+1	9.266347E-5	3.400000E+9	-1.765060E+2	9.217558E-5
3.500000E+2	3.400000E+9	-1.219701E+1	9.330569E-5	3.400000E+9	-1.756013E+2	9.289912E-5
3.500000E+2	3.400000E+9	-1.270725E+1	9.464815E-5	3.400000E+9	-1.756043E+2	9.253588E-5
3.500000E+2	3.400000E+9	-1.279583E+1	9.287403E-5	3.400000E+9	-1.767129E+2	9.163796E-5
