H (Oe)	Fre(S21)	deg(S21)	Lin(S21)	Fre(S12)	deg(S12)	Lin(S12)
5.500000E+2	3.400000E+9	-2.544148E+1	9.039180E-5	3.400000E+9	1.658382E+2	9.206043E-5
5.500000E+2	3.400000E+9	-2.591386E+1	9.197633E-5	3.400000E+9	1.654113E+2	9.201995E-5
5.450000E+2	3.400000E+9	-2.644355E+1	9.077154E-5	3.400000E+9	1.647687E+2	9.094039E-5
5.400000E+2	3.400000E+9	-2.745536E+1	9.074846E-5	3.400000E+9	1.643819E+2	9.100620E-5
5.350000E+2	3.400000E+9	-2.729914E+1	9.044219E-5	3.400000E+9	1.632702E+2	9.080191E-5
5.300000E+2	3.400000E+9	-2.761659E+1	9.146336E-5	3.400000E+9	1.631367E+2	9.257257E-5
5.250000E+2	3.400000E+9	-2.903579E+1	8.811540E-5	3.400000E+9	1.626299E+2	8.901321E-5
5.200000E+2	3.400000E+9	-2.951339E+1	8.984323E-5	3.400000E+9	1.612634E+2	8.957891E-5
5.150000E+2	3.400000E+9	-3.128252E+1	8.804278E-5	3.400000E+9	1.597406E+2	8.883404E-5
5.100000E+2	3.400000E+9	-3.339210E+1	8.615713E-5	3.400000E+9	1.582493E+2	8.833982E-5
5.050000E+2	3.400000E+9	-3.419176E+1	8.490521E-5	3.400000E+9	1.567758E+2	8.763434E-5
5.000000E+2	3.400000E+9	-3.614171E+1	8.357625E-5	3.400000E+9	1.566282E+2	8.381927E-5
4.950000E+2	3.400000E+9	-3.719576E+1	8.005034E-5	3.400000E+9	1.548012E+2	8.437511E-5
4.900000E+2	3.400000E+9	-3.774347E+1	7.687108E-5	3.400000E+9	1.529797E+2	8.001639E-5
4.850000E+2	3.400000E+9	-3.912625E+1	7.024206E-5	3.400000E+9	1.510054E+2	7.720514E-5
4.800000E+2	3.400000E+9	-3.911081E+1	6.623319E-5	3.400000E+9	1.503991E+2	7.480972E-5
4.750000E+2	3.400000E+9	-3.708399E+1	5.907833E-5	3.400000E+9	1.489451E+2	6.916509E-5
4.700000E+2	3.400000E+9	-3.211038E+1	5.505053E-5	3.400000E+9	1.467780E+2	6.334599E-5
4.650000E+2	3.400000E+9	-2.823207E+1	5.167788E-5	3.400000E+9	1.481431E+2	5.546389E-5
4.600000E+2	3.400000E+9	-2.061870E+1	5.006920E-5	3.400000E+9	1.512547E+2	4.925191E-5
