H (Oe)	Fre(S21)	deg(S21)	Lin(S21)	Fre(S12)	deg(S12)	Lin(S12)
5.500000E+2	3.400000E+9	-3.379886E+1	8.138690E-5	3.400000E+9	1.563496E+2	8.225387E-5
5.500000E+2	3.400000E+9	-3.425119E+1	8.049903E-5	3.400000E+9	1.575889E+2	8.055059E-5
5.450000E+2	3.400000E+9	-3.357386E+1	8.080606E-5	3.400000E+9	1.580347E+2	7.948808E-5
5.400000E+2	3.400000E+9	-3.521320E+1	8.039626E-5	3.400000E+9	1.572173E+2	8.078185E-5
5.350000E+2	3.400000E+9	-3.482432E+1	8.002958E-5	3.400000E+9	1.560643E+2	7.940205E-5
5.300000E+2	3.400000E+9	-3.507195E+1	7.978624E-5	3.400000E+9	1.568105E+2	7.971555E-5
5.250000E+2	3.400000E+9	-3.544523E+1	7.854191E-5	3.400000E+9	1.564394E+2	7.876445E-5
5.200000E+2	3.400000E+9	-3.690439E+1	7.898797E-5	3.400000E+9	1.550601E+2	7.854948E-5
5.150000E+2	3.400000E+9	-3.804241E+1	7.834256E-5	3.400000E+9	1.534501E+2	7.834602E-5
5.100000E+2	3.400000E+9	-3.897353E+1	7.675229E-5	3.400000E+9	1.523405E+2	7.849207E-5
5.050000E+2	3.400000E+9	-4.055227E+1	7.535784E-5	3.400000E+9	1.518196E+2	7.711538E-5
5.000000E+2	3.400000E+9	-4.199830E+1	7.382778E-5	3.400000E+9	1.504097E+2	7.570161E-5
4.950000E+2	3.400000E+9	-4.292570E+1	7.312565E-5	3.400000E+9	1.488992E+2	7.467301E-5
4.900000E+2	3.400000E+9	-4.445770E+1	6.911756E-5	3.400000E+9	1.474762E+2	7.296693E-5
4.850000E+2	3.400000E+9	-4.510340E+1	6.437989E-5	3.400000E+9	1.463829E+2	6.920663E-5
4.800000E+2	3.400000E+9	-4.484572E+1	6.043557E-5	3.400000E+9	1.455330E+2	6.532444E-5
4.750000E+2	3.400000E+9	-4.376823E+1	5.522587E-5	3.400000E+9	1.438860E+2	6.284750E-5
4.700000E+2	3.400000E+9	-3.946029E+1	4.974864E-5	3.400000E+9	1.437922E+2	5.821017E-5
4.650000E+2	3.400000E+9	-3.516770E+1	4.607729E-5	3.400000E+9	1.445053E+2	5.349203E-5
4.600000E+2	3.400000E+9	-2.714732E+1	4.499585E-5	3.400000E+9	1.465690E+2	4.791555E-5
4.550000E+2	3.400000E+9	-1.733029E+1	4.604265E-5	3.400000E+9	1.510070E+2	4.185649E-5
4.500000E+2	3.400000E+9	-1.188428E+1	5.070996E-5	3.400000E+9	1.596442E+2	3.790658E-5
4.450000E+2	3.400000E+9	-9.840774E+0	5.512410E-5	3.400000E+9	1.691304E+2	3.840837E-5
4.400000E+2	3.400000E+9	-8.051364E+0	6.084998E-5	3.400000E+9	1.791555E+2	4.067686E-5
4.350000E+2	3.400000E+9	-8.661044E+0	6.417652E-5	3.400000E+9	-1.749468E+2	4.464967E-5
4.300000E+2	3.400000E+9	-9.778494E+0	6.856595E-5	3.400000E+9	-1.711159E+2	5.122680E-5
4.250000E+2	3.400000E+9	-1.181387E+1	6.990939E-5	3.400000E+9	-1.712766E+2	5.721634E-5
4.200000E+2	3.400000E+9	-1.181617E+1	7.231515E-5	3.400000E+9	-1.719430E+2	6.062509E-5
4.150000E+2	3.400000E+9	-1.223714E+1	7.458875E-5	3.400000E+9	-1.731581E+2	6.435860E-5
4.100000E+2	3.400000E+9	-1.343747E+1	7.540666E-5	3.400000E+9	-1.752376E+2	6.606821E-5
4.050000E+2	3.400000E+9	-1.376218E+1	7.692356E-5	3.400000E+9	-1.753739E+2	7.024196E-5
4.000000E+2	3.400000E+9	-1.483014E+1	7.775507E-5	3.400000E+9	-1.766694E+2	7.144675E-5
3.950000E+2	3.400000E+9	-1.638207E+1	7.794168E-5	3.400000E+9	-1.773884E+2	7.309560E-5
3.900000E+2	3.400000E+9	-1.573268E+1	7.863968E-5	3.400000E+9	-1.787787E+2	7.389663E-5
3.850000E+2	3.400000E+9	-1.615567E+1	8.002553E-5	3.400000E+9	-1.792879E+2	7.644440E-5
3.800000E+2	3.400000E+9	-1.720968E+1	7.991755E-5	3.400000E+9	1.788805E+2	7.553499E-5
3.750000E+2	3.400000E+9	-1.722474E+1	8.063905E-5	3.400000E+9	1.786227E+2	7.716301E-5
