H (Oe)	Fre(S21)	deg(S21)	Lin(S21)	Fre(S12)	deg(S12)	Lin(S12)
5.500000E+2	3.400000E+9	-2.875813E+1	8.709566E-5	3.400000E+9	1.625065E+2	8.727806E-5
5.500000E+2	3.400000E+9	-2.824504E+1	8.641618E-5	3.400000E+9	1.631454E+2	8.629541E-5
5.450000E+2	3.400000E+9	-2.881803E+1	8.542216E-5	3.400000E+9	1.630017E+2	8.616797E-5
5.400000E+2	3.400000E+9	-2.913056E+1	8.511493E-5	3.400000E+9	1.630007E+2	8.617007E-5
5.350000E+2	3.400000E+9	-2.821871E+1	8.668208E-5	3.400000E+9	1.628594E+2	8.583254E-5
5.300000E+2	3.400000E+9	-2.804620E+1	8.637228E-5	3.400000E+9	1.640967E+2	8.619401E-5
5.250000E+2	3.400000E+9	-2.901559E+1	8.543377E-5	3.400000E+9	1.632735E+2	8.595580E-5
5.200000E+2	3.400000E+9	-2.829365E+1	8.571189E-5	3.400000E+9	1.635607E+2	8.615162E-5
5.150000E+2	3.400000E+9	-2.847480E+1	8.547010E-5	3.400000E+9	1.619533E+2	8.530261E-5
5.100000E+2	3.400000E+9	-2.888105E+1	8.582581E-5	3.400000E+9	1.626607E+2	8.573615E-5
5.050000E+2	3.400000E+9	-2.871035E+1	8.686951E-5	3.400000E+9	1.614248E+2	8.627460E-5
5.000000E+2	3.400000E+9	-2.835844E+1	8.651247E-5	3.400000E+9	1.630801E+2	8.568383E-5
4.950000E+2	3.400000E+9	-2.926585E+1	8.545564E-5	3.400000E+9	1.624726E+2	8.637067E-5
4.900000E+2	3.400000E+9	-2.860820E+1	8.643637E-5	3.400000E+9	1.624453E+2	8.607250E-5
4.850000E+2	3.400000E+9	-2.977879E+1	8.562790E-5	3.400000E+9	1.630047E+2	8.602668E-5
4.800000E+2	3.400000E+9	-2.870577E+1	8.632995E-5	3.400000E+9	1.637848E+2	8.504502E-5
4.750000E+2	3.400000E+9	-2.921273E+1	8.597274E-5	3.400000E+9	1.616981E+2	8.519235E-5
4.700000E+2	3.400000E+9	-2.863620E+1	8.619569E-5	3.400000E+9	1.625277E+2	8.486224E-5
4.650000E+2	3.400000E+9	-2.799928E+1	8.737786E-5	3.400000E+9	1.609094E+2	8.483294E-5
4.600000E+2	3.400000E+9	-2.875170E+1	8.579781E-5	3.400000E+9	1.608014E+2	8.382100E-5
4.550000E+2	3.400000E+9	-2.889558E+1	8.671508E-5	3.400000E+9	1.617062E+2	8.205770E-5
4.500000E+2	3.400000E+9	-2.883205E+1	8.490725E-5	3.400000E+9	1.628506E+2	8.093849E-5
4.450000E+2	3.400000E+9	-2.833534E+1	8.652934E-5	3.400000E+9	1.627737E+2	8.001018E-5
4.400000E+2	3.400000E+9	-3.017100E+1	8.616902E-5	3.400000E+9	1.633432E+2	8.061919E-5
4.350000E+2	3.400000E+9	-2.939984E+1	8.573289E-5	3.400000E+9	1.651013E+2	8.190304E-5
4.300000E+2	3.400000E+9	-2.936231E+1	8.571802E-5	3.400000E+9	1.640649E+2	8.241046E-5
4.250000E+2	3.400000E+9	-2.866495E+1	8.513248E-5	3.400000E+9	1.657322E+2	8.173808E-5
4.200000E+2	3.400000E+9	-2.835168E+1	8.515148E-5	3.400000E+9	1.652858E+2	8.241856E-5
4.150000E+2	3.400000E+9	-2.986177E+1	8.483462E-5	3.400000E+9	1.629933E+2	8.305833E-5
4.100000E+2	3.400000E+9	-2.738155E+1	8.306333E-5	3.400000E+9	1.637189E+2	8.139567E-5
4.050000E+2	3.400000E+9	-2.928299E+1	8.530899E-5	3.400000E+9	1.646521E+2	8.330809E-5
4.000000E+2	3.400000E+9	-2.833274E+1	8.578429E-5	3.400000E+9	1.663604E+2	8.295733E-5
3.950000E+2	3.400000E+9	-2.851562E+1	8.366201E-5	3.400000E+9	1.634857E+2	8.283393E-5
3.900000E+2	3.400000E+9	-2.775794E+1	8.463414E-5	3.400000E+9	1.658469E+2	8.464170E-5
3.850000E+2	3.400000E+9	-2.752931E+1	8.422122E-5	3.400000E+9	1.657238E+2	8.403006E-5
3.800000E+2	3.400000E+9	-2.836451E+1	8.628244E-5	3.400000E+9	1.661887E+2	8.389449E-5
3.750000E+2	3.400000E+9	-2.899326E+1	8.522301E-5	3.400000E+9	1.656467E+2	8.568395E-5
3.700000E+2	3.400000E+9	-2.867715E+1	8.439745E-5	3.400000E+9	1.643206E+2	8.366832E-5
3.650000E+2	3.400000E+9	-3.069223E+1	8.481453E-5	3.400000E+9	1.625311E+2	8.465280E-5
3.600000E+2	3.400000E+9	-2.771326E+1	8.403692E-5	3.400000E+9	1.646360E+2	8.424751E-5
3.550000E+2	3.400000E+9	-2.845971E+1	8.483521E-5	3.400000E+9	1.648641E+2	8.454078E-5
3.500000E+2	3.400000E+9	-2.818873E+1	8.369062E-5	3.400000E+9	1.648516E+2	8.437720E-5
3.500000E+2	3.400000E+9	-2.801989E+1	8.491737E-5	3.400000E+9	1.652428E+2	8.454049E-5
3.500000E+2	3.400000E+9	-2.839499E+1	8.471756E-5	3.400000E+9	1.647469E+2	8.464076E-5
3.500000E+2	3.400000E+9	-2.846949E+1	8.458772E-5	3.400000E+9	1.648070E+2	8.396670E-5
3.500000E+2	3.400000E+9	-2.802597E+1	8.452155E-5	3.400000E+9	1.651488E+2	8.414139E-5
3.500000E+2	3.400000E+9	-2.706299E+1	8.482522E-5	3.400000E+9	1.652995E+2	8.353817E-5
3.500000E+2	3.400000E+9	-2.799626E+1	8.524789E-5	3.400000E+9	1.641599E+2	8.539612E-5
3.500000E+2	3.400000E+9	-2.783431E+1	8.548013E-5	3.400000E+9	1.650765E+2	8.522140E-5
