H (Oe)	Fre(S21)	deg(S21)	Lin(S21)	Fre(S12)	deg(S12)	Lin(S12)
5.500000E+2	3.400000E+9	-2.192454E+1	1.076109E-4	3.400000E+9	1.704811E+2	1.085745E-4
5.500000E+2	3.400000E+9	-2.212452E+1	1.089312E-4	3.400000E+9	1.710170E+2	1.098970E-4
5.450000E+2	3.400000E+9	-2.252272E+1	1.082784E-4	3.400000E+9	1.698691E+2	1.099488E-4
5.400000E+2	3.400000E+9	-2.316063E+1	1.086922E-4	3.400000E+9	1.694788E+2	1.084782E-4
5.350000E+2	3.400000E+9	-2.262146E+1	1.094880E-4	3.400000E+9	1.699836E+2	1.107097E-4
5.300000E+2	3.400000E+9	-2.310289E+1	1.076571E-4	3.400000E+9	1.697122E+2	1.091830E-4
5.250000E+2	3.400000E+9	-2.308761E+1	1.085702E-4	3.400000E+9	1.697747E+2	1.103761E-4
5.200000E+2	3.400000E+9	-2.222099E+1	1.090280E-4	3.400000E+9	1.700759E+2	1.093058E-4
5.150000E+2	3.400000E+9	-2.346765E+1	1.078429E-4	3.400000E+9	1.703885E+2	1.089560E-4
5.100000E+2	3.400000E+9	-2.252853E+1	1.082266E-4	3.400000E+9	1.694209E+2	1.101714E-4
5.050000E+2	3.400000E+9	-2.293542E+1	1.084652E-4	3.400000E+9	1.700785E+2	1.097581E-4
5.000000E+2	3.400000E+9	-2.277682E+1	1.082990E-4	3.400000E+9	1.693501E+2	1.086723E-4
4.950000E+2	3.400000E+9	-2.294141E+1	1.086806E-4	3.400000E+9	1.689005E+2	1.091324E-4
4.900000E+2	3.400000E+9	-2.301381E+1	1.099770E-4	3.400000E+9	1.688586E+2	1.108543E-4
4.850000E+2	3.400000E+9	-2.304027E+1	1.089551E-4	3.400000E+9	1.683451E+2	1.096854E-4
4.800000E+2	3.400000E+9	-2.398183E+1	1.102255E-4	3.400000E+9	1.683934E+2	1.093164E-4
4.750000E+2	3.400000E+9	-2.279967E+1	1.095787E-4	3.400000E+9	1.696513E+2	1.087562E-4
4.700000E+2	3.400000E+9	-2.232390E+1	1.101066E-4	3.400000E+9	1.689950E+2	1.084568E-4
4.650000E+2	3.400000E+9	-2.274834E+1	1.102148E-4	3.400000E+9	1.690348E+2	1.082016E-4
4.600000E+2	3.400000E+9	-2.244986E+1	1.093962E-4	3.400000E+9	1.690476E+2	1.070073E-4
4.550000E+2	3.400000E+9	-2.285393E+1	1.100045E-4	3.400000E+9	1.691359E+2	1.086239E-4
4.500000E+2	3.400000E+9	-2.286835E+1	1.100610E-4	3.400000E+9	1.703961E+2	1.055610E-4
4.450000E+2	3.400000E+9	-2.305842E+1	1.104296E-4	3.400000E+9	1.702778E+2	1.060147E-4
4.400000E+2	3.400000E+9	-2.356258E+1	1.092212E-4	3.400000E+9	1.699641E+2	1.071125E-4
4.350000E+2	3.400000E+9	-2.319890E+1	1.097395E-4	3.400000E+9	1.709118E+2	1.064581E-4
4.300000E+2	3.400000E+9	-2.241605E+1	1.093536E-4	3.400000E+9	1.718883E+2	1.080707E-4
4.250000E+2	3.400000E+9	-2.313623E+1	1.093993E-4	3.400000E+9	1.715572E+2	1.085869E-4
4.200000E+2	3.400000E+9	-2.261572E+1	1.097748E-4	3.400000E+9	1.716064E+2	1.098881E-4
4.150000E+2	3.400000E+9	-2.240135E+1	1.121107E-4	3.400000E+9	1.712847E+2	1.093693E-4
4.100000E+2	3.400000E+9	-2.349908E+1	1.103632E-4	3.400000E+9	1.707021E+2	1.110375E-4
4.050000E+2	3.400000E+9	-2.374587E+1	1.108258E-4	3.400000E+9	1.710966E+2	1.121964E-4
4.000000E+2	3.400000E+9	-2.344464E+1	1.097666E-4	3.400000E+9	1.712090E+2	1.119109E-4
3.950000E+2	3.400000E+9	-2.414999E+1	1.108096E-4	3.400000E+9	1.706110E+2	1.110507E-4
3.900000E+2	3.400000E+9	-2.394478E+1	1.100687E-4	3.400000E+9	1.708260E+2	1.119738E-4
3.850000E+2	3.400000E+9	-2.338899E+1	1.087335E-4	3.400000E+9	1.705512E+2	1.123740E-4
3.800000E+2	3.400000E+9	-2.298153E+1	1.112441E-4	3.400000E+9	1.710647E+2	1.105902E-4
3.750000E+2	3.400000E+9	-2.299073E+1	1.100710E-4	3.400000E+9	1.700381E+2	1.103151E-4
3.700000E+2	3.400000E+9	-2.285419E+1	1.106805E-4	3.400000E+9	1.707111E+2	1.120360E-4
3.650000E+2	3.400000E+9	-2.393436E+1	1.102071E-4	3.400000E+9	1.700211E+2	1.111235E-4
3.600000E+2	3.400000E+9	-2.373516E+1	1.114286E-4	3.400000E+9	1.701166E+2	1.120664E-4
3.550000E+2	3.400000E+9	-2.321308E+1	1.099829E-4	3.400000E+9	1.707059E+2	1.117237E-4
3.500000E+2	3.400000E+9	-2.355049E+1	1.115598E-4	3.400000E+9	1.696594E+2	1.116081E-4
3.500000E+2	3.400000E+9	-2.367746E+1	1.105156E-4	3.400000E+9	1.703626E+2	1.129078E-4
3.500000E+2	3.400000E+9	-2.354728E+1	1.107699E-4	3.400000E+9	1.695650E+2	1.129831E-4
3.500000E+2	3.400000E+9	-2.391070E+1	1.106796E-4	3.400000E+9	1.700857E+2	1.117890E-4
3.500000E+2	3.400000E+9	-2.320070E+1	1.114196E-4	3.400000E+9	1.705248E+2	1.117034E-4
3.500000E+2	3.400000E+9	-2.381383E+1	1.112834E-4	3.400000E+9	1.705454E+2	1.136671E-4
3.500000E+2	3.400000E+9	-2.284804E+1	1.106102E-4	3.400000E+9	1.701143E+2	1.119418E-4
3.500000E+2	3.400000E+9	-2.276159E+1	1.097859E-4	3.400000E+9	1.699458E+2	1.118166E-4
