H (Oe)	Fre(S21)	deg(S21)	Lin(S21)	Fre(S12)	deg(S12)	Lin(S12)
5.500000E+2	3.400000E+9	-3.576532E+1	7.929736E-5	3.400000E+9	1.564211E+2	7.661334E-5
5.500000E+2	3.400000E+9	-3.551696E+1	7.872339E-5	3.400000E+9	1.558863E+2	7.823820E-5
5.450000E+2	3.400000E+9	-3.579801E+1	7.822478E-5	3.400000E+9	1.565559E+2	7.806381E-5
5.400000E+2	3.400000E+9	-3.581379E+1	7.843980E-5	3.400000E+9	1.554993E+2	7.648546E-5
5.350000E+2	3.400000E+9	-3.665007E+1	7.866209E-5	3.400000E+9	1.548895E+2	7.740677E-5
5.300000E+2	3.400000E+9	-3.713703E+1	7.834665E-5	3.400000E+9	1.546293E+2	7.620786E-5
5.250000E+2	3.400000E+9	-3.789284E+1	7.865913E-5	3.400000E+9	1.535373E+2	7.704060E-5
5.200000E+2	3.400000E+9	-3.868048E+1	7.797030E-5	3.400000E+9	1.532348E+2	7.652538E-5
5.150000E+2	3.400000E+9	-3.865323E+1	7.664890E-5	3.400000E+9	1.528390E+2	7.718577E-5
5.100000E+2	3.400000E+9	-3.985648E+1	7.534002E-5	3.400000E+9	1.512473E+2	7.517194E-5
5.050000E+2	3.400000E+9	-4.162680E+1	7.481671E-5	3.400000E+9	1.504289E+2	7.487473E-5
5.000000E+2	3.400000E+9	-4.397548E+1	7.304852E-5	3.400000E+9	1.470175E+2	7.256303E-5
4.950000E+2	3.400000E+9	-4.634382E+1	7.121305E-5	3.400000E+9	1.472743E+2	7.211397E-5
4.900000E+2	3.400000E+9	-4.581464E+1	6.762887E-5	3.400000E+9	1.465343E+2	7.041990E-5
4.850000E+2	3.400000E+9	-4.720138E+1	6.315637E-5	3.400000E+9	1.421728E+2	6.639960E-5
4.800000E+2	3.400000E+9	-4.763603E+1	6.003531E-5	3.400000E+9	1.437591E+2	6.316071E-5
4.750000E+2	3.400000E+9	-4.585917E+1	5.471569E-5	3.400000E+9	1.418798E+2	6.087428E-5
4.700000E+2	3.400000E+9	-4.540894E+1	4.941808E-5	3.400000E+9	1.408411E+2	5.566957E-5
4.650000E+2	3.400000E+9	-4.077477E+1	4.382104E-5	3.400000E+9	1.407520E+2	5.150679E-5
4.600000E+2	3.400000E+9	-3.301806E+1	4.228336E-5	3.400000E+9	1.403455E+2	4.615744E-5
4.550000E+2	3.400000E+9	-2.248321E+1	4.205487E-5	3.400000E+9	1.456986E+2	3.979509E-5
4.500000E+2	3.400000E+9	-1.504204E+1	4.651119E-5	3.400000E+9	1.541535E+2	3.703051E-5
4.450000E+2	3.400000E+9	-1.095664E+1	5.135119E-5	3.400000E+9	1.663323E+2	3.435654E-5
4.400000E+2	3.400000E+9	-8.422648E+0	5.667908E-5	3.400000E+9	1.779721E+2	3.694951E-5
4.350000E+2	3.400000E+9	-9.706490E+0	5.982062E-5	3.400000E+9	-1.752538E+2	4.168913E-5
4.300000E+2	3.400000E+9	-1.019888E+1	6.511949E-5	3.400000E+9	-1.725665E+2	4.893374E-5
4.250000E+2	3.400000E+9	-1.148052E+1	6.771804E-5	3.400000E+9	-1.711809E+2	5.396046E-5
4.200000E+2	3.400000E+9	-1.231423E+1	6.978545E-5	3.400000E+9	-1.728089E+2	5.722755E-5
4.150000E+2	3.400000E+9	-1.336507E+1	7.208725E-5	3.400000E+9	-1.732524E+2	6.159145E-5
4.100000E+2	3.400000E+9	-1.411600E+1	7.303835E-5	3.400000E+9	-1.741958E+2	6.443223E-5
4.050000E+2	3.400000E+9	-1.461599E+1	7.432588E-5	3.400000E+9	-1.762452E+2	6.679435E-5
4.000000E+2	3.400000E+9	-1.695834E+1	7.637709E-5	3.400000E+9	-1.764440E+2	6.880124E-5
3.950000E+2	3.400000E+9	-1.629159E+1	7.736643E-5	3.400000E+9	-1.778311E+2	7.021295E-5
3.900000E+2	3.400000E+9	-1.701925E+1	7.803237E-5	3.400000E+9	-1.789111E+2	7.309915E-5
3.850000E+2	3.400000E+9	-1.796032E+1	7.795481E-5	3.400000E+9	-1.795503E+2	7.477327E-5
3.800000E+2	3.400000E+9	-1.723173E+1	7.829864E-5	3.400000E+9	1.799596E+2	7.549639E-5
